Chamber_Num,process4,Flux60s,Flux90s,Flux160s,Flux480s,Flux840s,input_Energy,Current,Temp_implantation,Furance_Temp,RTA_Temp,No_Die,Lot_Num,Wafer_Num,Datetime
3,Implantation,9.997373e+15,1.346079e+17,3.468281e+17,3.002593e+17,6.000007e+17,31574.410,0.01,102.847,885,154,NOLSM111,1,1,17-02-2019 ?? 9:04:30
2,Implantation,9.705928e+15,1.389326e+17,3.838008e+17,3.017903e+17,6.000012e+17,31580.213,0.01,104.323,919,154,NOLSM212,1,2,17-02-2019 ?? 9:04:30
1,Implantation,1.761358e+16,8.782248e+16,6.014497e+17,2.994231e+17,6.000002e+17,32162.414,0.01,100.605,916,155,NOLSM313,1,3,17-02-2019 ?? 9:04:30
1,Implantation,1.148303e+16,9.776566e+16,6.646884e+16,2.991354e+17,6.000003e+17,32874.925,0.01,101.739,911,156,NOLSM414,1,4,17-02-2019 ?? 9:04:30
2,Implantation,9.769204e+15,1.222219e+17,2.49609e+17,3.005576e+17,6.000013e+17,30985.928,0.01,106.422,872,155,NOLSM515,1,5,17-02-2019 ?? 9:04:30
3,Implantation,1.175344e+16,9.343259e+16,4.461135e+17,3.003439e+17,5.999986e+17,31997.243,0.01,103.466,924,149,NOLSM616,1,6,17-02-2019 ?? 9:04:30
2,Implantation,1.446468e+16,8.035204e+16,3.242831e+17,2.999513e+17,5.999998e+17,31464.087,0.01,100.054,882,154,NOLSM717,1,7,17-02-2019 ?? 9:04:30
1,Implantation,1.292303e+16,9.883959e+16,2.291419e+17,3.015216e+17,6.000005e+17,31776.157,0.01,104.328,885,153,NOLSM818,1,8,17-02-2019 ?? 9:04:30
1,Implantation,1.713315e+16,1.369364e+17,1.27114e+18,2.996128e+17,5.999996e+17,31692.407,0.01,104.575,906,156,NOLSM919,1,9,17-02-2019 ?? 9:04:30
2,Implantation,8.354681e+15,2.650113e+16,4.66949e+17,3.010596e+17,5.999989e+17,32927.629,0.01,106.633,898,158,NOLSM10110,1,10,17-02-2019 ?? 9:04:30
3,Implantation,1.736793e+16,2.39343e+16,9.600094e+17,2.989463e+17,6.000002e+17,31691.366,0.01,105.291,891,156,NOLSM11111,1,11,17-02-2019 ?? 9:04:30
3,Implantation,1.371259e+16,8.908177e+16,7.436403e+17,3.003316e+17,5.999984e+17,31201.151,0.01,105.485,906,153,NOLSM12112,1,12,17-02-2019 ?? 9:04:30
2,Implantation,1.376035e+16,1.218307e+17,7.799705e+17,3.025238e+17,6.000021e+17,31655.390,0.01,104.646,898,151,NOLSM13113,1,13,17-02-2019 ?? 9:04:30
1,Implantation,1.261232e+16,1.114255e+17,6.0035e+17,3.029654e+17,6.000011e+17,30953.889,0.01,104.291,897,152,NOLSM14114,1,14,17-02-2019 ?? 9:04:30
1,Implantation,7.253277e+15,9.582958e+16,2.286922e+17,3.009416e+17,5.999996e+17,31211.391,0.01,102.585,899,151,NOLSM15115,1,15,17-02-2019 ?? 9:04:30
2,Implantation,9.515444e+15,4.841094e+16,9.963945e+17,2.992162e+17,5.999984e+17,31603.462,0.01,106.007,910,156,NOLSM16116,1,16,17-02-2019 ?? 9:04:30
3,Implantation,1.288988e+16,5.537654e+16,5.802794e+17,2.99731e+17,5.999975e+17,31197.908,0.01,103.454,910,155,NOLSM17117,1,17,17-02-2019 ?? 9:04:30
3,Implantation,8.412184e+15,1.656621e+17,9.850025e+17,3.00217e+17,5.999992e+17,31359.595,0.01,103.046,894,156,NOLSM18118,1,18,17-02-2019 ?? 9:04:30
2,Implantation,1.30369e+16,1.003419e+17,7.400214e+17,3.016296e+17,5.999994e+17,32409.504,0.01,106.244,899,154,NOLSM19119,1,19,17-02-2019 ?? 9:04:30
1,Implantation,1.233285e+16,9.301029e+16,2.58609e+17,3.034747e+17,6.000006e+17,32922.767,0.01,104.804,923,152,NOLSM20120,1,20,17-02-2019 ?? 9:04:30
1,Implantation,1.417545e+16,1.866649e+16,2.188458e+17,3.011953e+17,6.00001e+17,30786.770,0.01,101.334,920,154,NOLSM21121,1,21,17-02-2019 ?? 9:04:30
2,Implantation,9.743628e+15,1.412765e+17,3.595885e+17,3.000941e+17,5.999988e+17,30857.277,0.01,101.933,897,154,NOLSM22122,1,22,17-02-2019 ?? 9:04:30
3,Implantation,1.255924e+16,3.112503e+16,7.90051e+17,3.023858e+17,5.99999e+17,32295.600,0.01,100.745,884,155,NOLSM23123,1,23,17-02-2019 ?? 9:04:30
3,Implantation,5.205382e+15,4.092096e+16,6.657654e+17,3.00668e+17,5.999966e+17,31614.158,0.01,104.380,917,155,NOLSM24124,1,24,17-02-2019 ?? 9:04:30
2,Implantation,1.769117e+16,1.305478e+17,9.923419e+17,3.005993e+17,5.999993e+17,30534.747,0.01,100.517,915,156,NOLSM25125,1,25,17-02-2019 ?? 9:04:30
1,Implantation,2.046552e+16,1.427244e+17,5.002561e+17,3.000664e+17,6.000002e+17,32268.828,0.01,102.998,898,159,NOLSM26126,1,26,17-02-2019 ?? 9:04:30
1,Implantation,1.010194e+16,2.132326e+16,7.534695e+17,3.01607e+17,6.00001e+17,31093.054,0.01,101.814,903,156,NOLSM27127,1,27,17-02-2019 ?? 9:04:30
2,Implantation,5.931327e+15,9.218457e+16,1.203848e+17,2.998575e+17,6.000007e+17,31490.992,0.01,105.795,890,154,NOLSM2821,2,1,18-02-2019 ?? 9:04:30
3,Implantation,1.1191e+16,9.480994e+16,5.555139e+17,3.012355e+17,6.00002e+17,32725.266,0.01,103.911,911,156,NOLSM2922,2,2,18-02-2019 ?? 9:04:30
3,Implantation,7.301236e+15,6.260504e+16,8.161858e+17,3.00526e+17,5.999989e+17,31538.328,0.01,103.924,896,152,NOLSM3023,2,3,18-02-2019 ?? 9:04:30
1,Implantation,1.788175e+16,9.120778e+16,6.309891e+17,2.999588e+17,5.999975e+17,31998.259,0.01,100.411,920,154,NOLSM3124,2,4,18-02-2019 ?? 9:04:30
1,Implantation,9.719014e+15,8.635994e+16,6.325446e+17,2.999648e+17,5.99998e+17,31811.636,0.01,103.273,923,154,NOLSM3225,2,5,18-02-2019 ?? 9:04:30
3,Implantation,1.341e+16,1.687066e+17,3.91677e+17,3.01244e+17,6.000007e+17,32124.080,0.01,104.340,900,157,NOLSM3326,2,6,18-02-2019 ?? 9:04:30
3,Implantation,8.521005e+15,1.903487e+17,5.608997e+17,2.982403e+17,5.999996e+17,30891.410,0.01,100.362,910,154,NOLSM3427,2,7,18-02-2019 ?? 9:04:30
2,Implantation,9.279492e+15,1.044419e+17,8.953365e+17,3.012918e+17,5.999988e+17,31517.072,0.01,105.868,885,153,NOLSM3528,2,8,18-02-2019 ?? 9:04:30
1,Implantation,1.42147e+16,1.323863e+17,8.00019e+17,3.003464e+17,5.999997e+17,31790.504,0.01,100.638,867,150,NOLSM3629,2,9,18-02-2019 ?? 9:04:30
1,Implantation,6.51557e+15,8.246812e+16,6.083421e+17,3.007726e+17,5.999991e+17,32067.825,0.01,102.656,901,154,NOLSM37210,2,10,18-02-2019 ?? 9:04:30
2,Implantation,1.419174e+16,1.492151e+17,5.787467e+17,3.009167e+17,5.999987e+17,31126.867,0.01,105.072,893,158,NOLSM38211,2,11,18-02-2019 ?? 9:04:30
3,Implantation,1.132399e+16,1.133253e+17,-6.93096e+16,2.99431e+17,6.000005e+17,31104.203,0.01,102.618,923,157,NOLSM39212,2,12,18-02-2019 ?? 9:04:30
3,Implantation,1.111963e+16,1.227923e+17,4.506595e+17,3.023499e+17,6e+17,32566.660,0.01,99.988,887,155,NOLSM40213,2,13,18-02-2019 ?? 9:04:30
2,Implantation,1.034284e+16,8.154826e+16,6.380694e+17,3.012074e+17,6.000002e+17,32521.877,0.01,99.525,892,153,NOLSM41214,2,14,18-02-2019 ?? 9:04:30
1,Implantation,1.334222e+16,3.680414e+16,4.287332e+17,3.0108e+17,5.999998e+17,31358.645,0.01,105.044,899,152,NOLSM42215,2,15,18-02-2019 ?? 9:04:30
1,Implantation,1.059335e+16,1.224482e+16,3.955358e+17,3.010186e+17,6.000001e+17,31818.475,0.01,102.605,920,152,NOLSM43216,2,16,18-02-2019 ?? 9:04:30
2,Implantation,1.688761e+16,9.402568e+16,5.7005e+17,3.011772e+17,5.999979e+17,31391.261,0.01,106.140,911,159,NOLSM44217,2,17,18-02-2019 ?? 9:04:30
3,Implantation,6.156502e+15,1.622314e+17,5.928143e+17,3.011139e+17,6.000005e+17,32378.318,0.01,104.608,900,150,NOLSM45218,2,18,18-02-2019 ?? 9:04:30
3,Implantation,1.045914e+16,1.83099e+17,6.403237e+17,3.00411e+17,5.999986e+17,31655.809,0.01,106.163,892,151,NOLSM46219,2,19,18-02-2019 ?? 9:04:30
2,Implantation,1.223585e+16,8.918856e+16,1.193315e+17,3.004486e+17,6.000003e+17,31475.030,0.01,104.423,867,155,NOLSM47220,2,20,18-02-2019 ?? 9:04:30
