,photo_soft_Chamber,process 2,resist_target,N2_HMDS,pressure_HMDS,temp_HMDS,temp_HMDS_bake,time_HMDS_bake,spin1,spin2,spin3,photoresist_bake,temp_softbake,time_softbake,No_Die,Lot_Num,Wafer_Num,Datetime
0,1,Photo,1.2119395203336807,13.891,15.025,20.0,198.792,90.001,504.589,4082.622,5184.62,5.044,90.894,30.009,NOLSM111,1,1,17-02-2019 PM 9:04:30
1,1,Photo,0.8877203029111609,14.722,15.059,19.995,198.747,89.998,492.196,3960.739,5065.197,5.058,92.334,29.997,NOLSM212,1,2,17-02-2019 PM 9:04:30
2,1,Photo,1.113155780440691,19.205,14.964,19.997,202.139,90.0,499.886,3981.691,4873.417,5.151,91.868,30.005,NOLSM313,1,3,17-02-2019 PM 9:04:30
3,2,Photo,0.882194567428503,16.368,14.944,19.998,199.649,90.001,505.249,3922.191,5131.972,5.069,91.881,29.997,NOLSM414,1,4,17-02-2019 PM 9:04:30
4,2,Photo,0.8340014359219816,13.926,14.933,20.002,204.544,90.001,501.089,4124.099,5108.355,5.055,91.212,30.001,NOLSM515,1,5,17-02-2019 PM 9:04:30
5,2,Photo,1.0620053334245028,11.919,15.132,20.007,201.962,90.0,500.748,4001.361,5030.912,5.008,91.85,29.999,NOLSM616,1,6,17-02-2019 PM 9:04:30
6,3,Photo,1.3000008547154651,16.358,15.083,19.997,205.548,90.001,505.27,4054.534,4965.192,5.192,92.193,30.003,NOLSM717,1,7,17-02-2019 PM 9:04:30
7,3,Photo,1.0829586830544111,12.465,14.91,19.998,202.558,89.999,501.967,3957.086,5075.265,4.965,92.359,30.01,NOLSM818,1,8,17-02-2019 PM 9:04:30
8,1,Photo,0.7672823467067813,13.463,15.016,19.998,202.294,90.0,498.37,4087.957,5099.904,5.087,92.549,29.997,NOLSM919,1,9,17-02-2019 PM 9:04:30
9,1,Photo,0.7905434280927879,11.535,15.198,20.002,200.821,90.002,499.082,4025.484,5049.864,4.923,91.49,29.999,NOLSM10110,1,10,17-02-2019 PM 9:04:30
10,1,Photo,0.9451828236380109,18.638,15.012,20.001,201.924,90.002,500.257,4036.876,5087.298,4.975,92.318,29.988,NOLSM11111,1,11,17-02-2019 PM 9:04:30
11,2,Photo,1.4165968649036733,12.013,14.981,20.001,200.521,90.001,501.499,4014.071,4947.437,5.024,93.669,30.001,NOLSM12112,1,12,17-02-2019 PM 9:04:30
12,2,Photo,0.7452306877040633,15.182,15.034,19.994,199.034,90.0,501.61,3985.686,5137.647,5.013,91.66,30.0,NOLSM13113,1,13,17-02-2019 PM 9:04:30
13,2,Photo,0.9097976033778354,18.211,15.006,20.001,197.707,90.0,503.158,4047.541,4947.636,5.028,94.355,29.997,NOLSM14114,1,14,17-02-2019 PM 9:04:30
14,3,Photo,0.8276594471700371,15.836,14.925,19.993,194.126,90.0,501.085,3955.393,4983.697,5.032,92.48,30.003,NOLSM15115,1,15,17-02-2019 PM 9:04:30
15,3,Photo,1.405793261423272,15.931,15.1,20.004,199.703,90.0,503.226,4062.804,4931.418,5.053,94.036,30.003,NOLSM16116,1,16,17-02-2019 PM 9:04:30
16,3,Photo,1.2967443887929706,13.723,14.879,19.998,198.575,90.0,499.06,4071.633,5053.274,5.102,93.318,29.996,NOLSM17117,1,17,17-02-2019 PM 9:04:30
17,1,Photo,1.2057214653241934,13.934,14.899,20.001,198.429,90.0,501.252,3985.677,4979.438,4.925,90.195,30.007,NOLSM18118,1,18,17-02-2019 PM 9:04:30
18,1,Photo,1.2936588659635206,13.286,15.074,19.991,202.801,90.001,499.644,3978.724,4940.786,5.052,91.503,30.008,NOLSM19119,1,19,17-02-2019 PM 9:04:30
19,1,Photo,1.3779637258756559,15.243,14.939,20.002,202.168,90.001,500.85,4056.014,4959.075,5.063,90.706,30.012,NOLSM20120,1,20,17-02-2019 PM 9:04:30
20,2,Photo,0.9060539496401647,16.26,14.995,19.999,200.039,90.0,503.25,4029.12,4990.186,4.937,90.313,30.005,NOLSM21121,1,21,17-02-2019 PM 9:04:30
21,2,Photo,1.10931383442452,14.621,15.052,19.999,202.913,90.0,498.172,3971.194,5038.728,5.017,91.22,29.982,NOLSM22122,1,22,17-02-2019 PM 9:04:30
22,2,Photo,1.0490222055077865,16.852,15.041,20.003,197.898,90.001,499.885,4035.394,5098.559,4.993,90.621,30.004,NOLSM23123,1,23,17-02-2019 PM 9:04:30
23,3,Photo,0.9569565291714388,17.92,14.929,20.0,200.741,90.001,501.31,3952.67,5052.23,5.035,90.441,30.004,NOLSM24124,1,24,17-02-2019 PM 9:04:30
24,3,Photo,1.171199507683892,20.149,14.995,19.994,200.56,90.001,500.285,3972.34,5047.799,5.008,91.096,29.994,NOLSM25125,1,25,17-02-2019 PM 9:04:30
25,3,Photo,0.982102258158259,17.655,15.036,20.005,198.828,90.0,504.606,4017.144,5018.69,4.909,90.377,30.013,NOLSM26126,1,26,17-02-2019 PM 9:04:30
26,1,Photo,1.0007478760320687,19.821,14.96,19.998,198.925,90.001,503.84,4072.913,5016.378,5.104,88.887,29.992,NOLSM27127,1,27,17-02-2019 PM 9:04:30
27,1,Photo,1.2520769585804885,16.921,15.102,19.995,198.225,90.0,503.181,4084.939,4933.829,5.061,90.515,30.011,NOLSM2821,2,1,17-02-2019 PM 9:04:30
28,1,Photo,1.2874365373767072,13.908,14.999,19.995,199.62,89.999,493.831,4045.078,5009.51,4.92,89.336,29.991,NOLSM2922,2,2,17-02-2019 PM 9:04:30
29,2,Photo,0.9967862698507666,14.435,15.059,20.0,199.343,90.0,504.01,4010.176,5055.398,5.096,92.718,30.011,NOLSM3023,2,3,17-02-2019 PM 9:04:30
30,2,Photo,0.5125472230294535,13.612,14.976,19.998,200.716,90.0,499.668,4080.116,5004.189,4.934,92.045,30.004,NOLSM3124,2,4,17-02-2019 PM 9:04:30
31,3,Photo,0.9060753175267953,14.795,15.077,20.005,197.232,89.999,499.414,4039.539,5118.878,5.062,91.009,30.002,NOLSM3225,2,5,17-02-2019 PM 9:04:30
32,3,Photo,1.156818919981538,17.679,15.047,19.998,195.711,90.001,498.501,4104.008,4976.329,5.118,90.552,29.995,NOLSM3326,2,6,17-02-2019 PM 9:04:30
33,1,Photo,0.9704653070992666,18.779,14.938,19.997,205.521,90.001,495.38,4036.214,5079.015,5.004,94.494,30.014,NOLSM3427,2,7,17-02-2019 PM 9:04:30
34,1,Photo,1.0468170396075145,17.805,15.024,19.998,193.229,90.001,495.848,4082.9,5024.711,4.881,92.963,30.009,NOLSM3528,2,8,17-02-2019 PM 9:04:30
