,Ox_Chamber,process,type,Temp_OXid,Vapor,ppm,Pressure,Oxid_time,thickness,No_Die,Reinforcement,Unnamed: 0_x,photo_soft_Chamber,process 2,resist_target,N2_HMDS,pressure_HMDS,temp_HMDS,temp_HMDS_bake,time_HMDS_bake,spin1,spin2,spin3,photoresist_bake,temp_softbake,time_softbake,lithography_Chamber,Line_CD,UV_type,Wavelength,Resolution,Energy_Exposure,Range_check,Unnamed: 0_y,Etching_Chamber,Process 3,Temp_Etching,Source_Power,Selectivity,Thin Film 4,Thin Film 3,Thin Film 2,Thin Film 1,Etching_rate,Chamber_Num,process4,Flux60s,Flux90s,Flux160s,Flux480s,Flux840s,input_Energy,Temp_implantation,Furance_Temp,RTA_Temp,Target,Error_message,target_binom,Chamber_Route
0,1,Oxidation,dry,1138.9791588,O2,32.8,0.2,62.0,699.443,NOLSM111,True,0,1,Photo,1.211939520333681,13.891,15.025,20.0,198.792,90.001,504.589,4082.622,5184.62,5.044,90.894,30.009,1,30.959,H,405,516.657,109.769,True,0,3,Etching,70.878,50.851,1.047,251.0,267.06,303.82,361.38,2.7595,3,Implantation,9997373000000000.0,1.346079e+17,3.468281e+17,3.002593e+17,6.000007e+17,31574.41,102.847,885.0,154,96,none,0.0,route_11133
1,1,Oxidation,dry,1218.1845511,O2,31.86,0.194,137.0,696.792,NOLSM212,True,1,1,Photo,0.8877203029111609,14.722,15.059,19.995,198.747,89.998,492.196,3960.739,5065.197,5.058,92.334,29.997,2,29.653,H,405,501.894,107.102,True,1,2,Etching,69.561,52.283,1.051,317.0,332.74,369.31,426.11,2.7277500000000003,2,Implantation,9705928000000000.0,1.389326e+17,3.838008e+17,3.017903e+17,6.000012e+17,31580.213,104.323,919.0,154,102,none,0.0,route_11222
2,1,Oxidation,dry,1062.467808,O2,39.51,0.217,128.0,705.471,NOLSM313,False,2,1,Photo,1.113155780440691,19.205,14.964,19.997,202.139,90.0,499.886,3981.691,4873.417,5.151,91.868,30.005,3,28.063,I,365,506.75,110.471,True,2,1,Etching,70.968,51.61,1.017,411.0,424.21,460.65,517.8,2.669999999999999,1,Implantation,1.761358e+16,8.782248e+16,6.014497e+17,2.994231e+17,6.000002e+17,32162.414,100.605,916.0,155,95,none,0.0,route_11311
3,1,Oxidation,dry,1114.7047728,O2,32.88,0.201,90.0,710.772,NOLSM414,False,3,2,Photo,0.882194567428503,16.368,14.944,19.998,199.649,90.001,505.249,3922.191,5131.972,5.069,91.881,29.997,1,31.556,I,365,537.603,107.072,True,3,1,Etching,70.146,51.286,1.027,256.0,272.28,308.55999999999995,365.93,2.74825,1,Implantation,1.148303e+16,9.776566e+16,6.646884e+16,2.991354e+17,6.000003e+17,32874.925,101.739,911.0,156,117,none,0.0,route_12111
4,1,Oxidation,dry,989.41194619,O2,38.11,0.204,98.0,716.975,NOLSM515,False,4,2,Photo,0.8340014359219816,13.926,14.933,20.002,204.544,90.001,501.089,4124.099,5108.355,5.055,91.212,30.001,2,31.969,I,365,560.574,108.073,True,4,2,Etching,71.174,51.996,1.05,419.0,434.98,471.65,528.85,2.7462500000000007,2,Implantation,9769204000000000.0,1.222219e+17,2.49609e+17,3.005576e+17,6.000013e+17,30985.928,106.422,872.0,155,143,none,0.0,route_12222
5,1,Oxidation,wet,979.10970259,H2O,39.93,0.204,132.0,698.725,NOLSM616,True,5,2,Photo,1.0620053334245028,11.919,15.132,20.007,201.962,90.0,500.748,4001.361,5030.912,5.008,91.85,29.999,3,51.096,H,405,500.892,106.951,True,5,3,Etching,71.709,51.931,1.012,359.0,372.23,408.67,465.74,2.6685000000000003,3,Implantation,1.175344e+16,9.343259e+16,4.461135e+17,3.003439e+17,5.999986e+17,31997.243,103.466,924.0,149,49,none,0.0,route_12333
6,1,Oxidation,wet,1136.1149536,H2O,35.63,0.2,74.0,709.703,NOLSM717,False,6,3,Photo,1.3000008547154651,16.358,15.083,19.997,205.548,90.001,505.27,4054.534,4965.192,5.192,92.193,30.003,2,24.552,I,365,516.947,108.505,False,6,2,Etching,71.354,51.446,1.034,151.0,164.89,201.68,258.67999999999995,2.691999999999999,2,Implantation,1.446468e+16,8.035204e+16,3.242831e+17,2.999513e+17,5.999998e+17,31464.087,100.054,882.0,154,97,none,0.0,route_13222
7,1,Oxidation,dry,1096.2418486,O2,28.6,0.199,291.0,696.438,NOLSM818,True,7,3,Photo,1.0829586830544111,12.465,14.91,19.998,202.558,89.999,501.967,3957.086,5075.265,4.965,92.359,30.01,3,33.839,G,436,492.095,106.183,True,7,1,Etching,70.761,51.053,1.022,316.0,331.21,367.74,425.11,2.7277500000000003,1,Implantation,1.292303e+16,9.883959e+16,2.291419e+17,3.015216e+17,6.000005e+17,31776.157,104.328,885.0,153,92,none,0.0,route_13311
8,2,Oxidation,dry,1042.2439924,O2,34.58,0.203,61.0,712.977,NOLSM919,False,8,1,Photo,0.7672823467067813,13.463,15.016,19.998,202.294,90.0,498.37,4087.957,5099.904,5.087,92.549,29.997,1,61.905,H,405,506.182,108.96,False,8,1,Etching,71.716,51.209,1.039,294.0,308.25,344.79,401.96,2.6989999999999994,1,Implantation,1.713315e+16,1.369364e+17,1.27114e+18,2.996128e+17,5.999996e+17,31692.407,104.575,906.0,156,86,none,0.0,route_21111
9,2,Oxidation,dry,1104.8362847,O2,34.95,0.204,117.0,725.873,NOLSM10110,False,9,1,Photo,0.7905434280927879,11.535,15.198,20.002,200.821,90.002,499.082,4025.484,5049.864,4.923,91.49,29.999,2,41.35,H,405,499.553,109.605,True,9,2,Etching,69.948,50.944,1.024,466.0,482.03,518.4599999999999,575.4899999999999,2.7372499999999973,2,Implantation,8354681000000000.0,2.650113e+16,4.66949e+17,3.010596e+17,5.999989e+17,32927.629,106.633,898.0,158,102,none,0.0,route_21222
